user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
Thuế thu nhập doanh nghiệp là gì?,"['Lu?t Thu? Thu Nh?p Doanh Nghi?p ? ?i?u 6\n#### ?i?u 6. C?n c? ph?p l? ch?nh\n\nQuy ??nh v? ng??i n?p thu?, thu nh?p ch?u thu?, c?n c? t?nh thu?, thu? su?t v? chi ph? ???c tr?.', 'Lu?t Thu? Thu Nh?p Doanh Nghi?p ? ?i?u tham chi?u\n#### ?i?u tham chi?u. N?i dung li?n quan\n\nN?i dung ???c tr?ch xu?t d?ng ?? ??i chi?u v?i c?u h?i: Thuế thu nhập doanh nghiệp là loại thuế trực thu tính trên phần thu nhập chịu thuế của doanh nghiệp sau khi trừ các khoản chi phí được trừ và các khoản miễn giảm theo quy định.', 'T?i li?u h??ng d?n thu? ? M?c ?p d?ng\n#### M?c ?p d?ng th?c t?\n\nC?u tr? l?i c?n b?m s?t quy ??nh v? kh?ng m? r?ng ngo?i c?n c? ?? truy xu?t.']",Thuế thu nhập doanh nghiệp là loại thuế trực thu tính trên phần thu nhập chịu thuế của doanh nghiệp sau khi trừ các khoản chi phí được trừ và các khoản miễn giảm theo quy định.,Thuế thu nhập doanh nghiệp là loại thuế trực thu tính trên phần thu nhập chịu thuế của doanh nghiệp sau khi trừ các khoản chi phí được trừ và các khoản miễn giảm theo quy định.,0.96,0.94,0.95,0.97
Thuế suất thuế thu nhập doanh nghiệp phổ thông hiện hành là bao nhiêu?,"['Lu?t Thu? Thu Nh?p Doanh Nghi?p ? ?i?u 6\n#### ?i?u 6. C?n c? ph?p l? ch?nh\n\nQuy ??nh v? ng??i n?p thu?, thu nh?p ch?u thu?, c?n c? t?nh thu?, thu? su?t v? chi ph? ???c tr?.', 'Lu?t Thu? Thu Nh?p Doanh Nghi?p ? ?i?u tham chi?u\n#### ?i?u tham chi?u. N?i dung li?n quan\n\nN?i dung ???c tr?ch xu?t d?ng ?? ??i chi?u v?i c?u h?i: Thuế suất thuế thu nhập doanh nghiệp phổ thông hiện hành thường là 20%, trừ trường hợp được áp dụng thuế suất ưu đãi hoặc mức thuế suất riêng theo quy định.', 'T?i li?u h??ng d?n thu? ? M?c ?p d?ng\n#### M?c ?p d?ng th?c t?\n\nC?u tr? l?i c?n b?m s?t quy ??nh v? kh?ng m? r?ng ngo?i c?n c? ?? truy xu?t.']","Thuế suất thuế thu nhập doanh nghiệp phổ thông hiện hành thường là 20%, trừ trường hợp được áp dụng thuế suất ưu đãi hoặc mức thuế suất riêng theo quy định.","Thuế suất thuế thu nhập doanh nghiệp phổ thông hiện hành thường là 20%, trừ trường hợp được áp dụng thuế suất ưu đãi hoặc mức thuế suất riêng theo quy định.",0.94,0.93,0.94,0.95
Căn cứ tính thuế thu nhập doanh nghiệp gồm những yếu tố nào?,"['Lu?t Thu? Thu Nh?p Doanh Nghi?p ? ?i?u 6\n#### ?i?u 6. C?n c? ph?p l? ch?nh\n\nQuy ??nh v? ng??i n?p thu?, thu nh?p ch?u thu?, c?n c? t?nh thu?, thu? su?t v? chi ph? ???c tr?.', 'Lu?t Thu? Thu Nh?p Doanh Nghi?p ? ?i?u tham chi?u\n#### ?i?u tham chi?u. N?i dung li?n quan\n\nN?i dung ???c tr?ch xu?t d?ng ?? ??i chi?u v?i c?u h?i: Căn cứ tính thuế thu nhập doanh nghiệp gồm thu nhập tính thuế và thuế suất thuế thu nhập doanh nghiệp áp dụng cho kỳ tính thuế.', 'T?i li?u h??ng d?n thu? ? M?c ?p d?ng\n#### M?c ?p d?ng th?c t?\n\nC?u tr? l?i c?n b?m s?t quy ??nh v? kh?ng m? r?ng ngo?i c?n c? ?? truy xu?t.']",Căn cứ tính thuế thu nhập doanh nghiệp gồm thu nhập tính thuế và thuế suất thuế thu nhập doanh nghiệp áp dụng cho kỳ tính thuế.,Căn cứ tính thuế thu nhập doanh nghiệp gồm thu nhập tính thuế và thuế suất thuế thu nhập doanh nghiệp áp dụng cho kỳ tính thuế.,0.95,0.92,0.93,0.96
Kỳ tính thuế thu nhập doanh nghiệp thông thường là gì?,"['Lu?t Thu? Thu Nh?p Doanh Nghi?p ? ?i?u 6\n#### ?i?u 6. C?n c? ph?p l? ch?nh\n\nQuy ??nh v? ng??i n?p thu?, thu nh?p ch?u thu?, c?n c? t?nh thu?, thu? su?t v? chi ph? ???c tr?.', 'Lu?t Thu? Thu Nh?p Doanh Nghi?p ? ?i?u tham chi?u\n#### ?i?u tham chi?u. N?i dung li?n quan\n\nN?i dung ???c tr?ch xu?t d?ng ?? ??i chi?u v?i c?u h?i: Kỳ tính thuế thu nhập doanh nghiệp thông thường được xác định theo năm dương lịch hoặc năm tài chính của doanh nghiệp.', 'T?i li?u h??ng d?n thu? ? M?c ?p d?ng\n#### M?c ?p d?ng th?c t?\n\nC?u tr? l?i c?n b?m s?t quy ??nh v? kh?ng m? r?ng ngo?i c?n c? ?? truy xu?t.']",Kỳ tính thuế thu nhập doanh nghiệp thông thường được xác định theo năm dương lịch hoặc năm tài chính của doanh nghiệp.,Kỳ tính thuế thu nhập doanh nghiệp thông thường được xác định theo năm dương lịch hoặc năm tài chính của doanh nghiệp.,0.93,0.91,0.92,0.94
Khoản chi được trừ khi tính thuế TNDN cần đáp ứng điều kiện gì?,"['Lu?t Thu? Thu Nh?p Doanh Nghi?p ? ?i?u 6\n#### ?i?u 6. C?n c? ph?p l? ch?nh\n\nQuy ??nh v? ng??i n?p thu?, thu nh?p ch?u thu?, c?n c? t?nh thu?, thu? su?t v? chi ph? ???c tr?.', 'Lu?t Thu? Thu Nh?p Doanh Nghi?p ? ?i?u tham chi?u\n#### ?i?u tham chi?u. N?i dung li?n quan\n\nN?i dung ???c tr?ch xu?t d?ng ?? ??i chi?u v?i c?u h?i: Khoản chi được trừ khi tính thuế TNDN cần liên quan đến hoạt động sản xuất kinh doanh, có hóa đơn chứng từ hợp pháp và đáp ứng điều kiện thanh toán theo quy định.', 'T?i li?u h??ng d?n thu? ? M?c ?p d?ng\n#### M?c ?p d?ng th?c t?\n\nC?u tr? l?i c?n b?m s?t quy ??nh v? kh?ng m? r?ng ngo?i c?n c? ?? truy xu?t.']","Khoản chi được trừ khi tính thuế TNDN cần liên quan đến hoạt động sản xuất kinh doanh, có hóa đơn chứng từ hợp pháp và đáp ứng điều kiện thanh toán theo quy định.","Khoản chi được trừ khi tính thuế TNDN cần liên quan đến hoạt động sản xuất kinh doanh, có hóa đơn chứng từ hợp pháp và đáp ứng điều kiện thanh toán theo quy định.",0.92,0.9,0.91,0.93
Khoản chi không có hóa đơn chứng từ hợp lệ có được trừ khi tính thuế TNDN không?,"['Lu?t Thu? Thu Nh?p Doanh Nghi?p ? ?i?u 6\n#### ?i?u 6. C?n c? ph?p l? ch?nh\n\nQuy ??nh v? ng??i n?p thu?, thu nh?p ch?u thu?, c?n c? t?nh thu?, thu? su?t v? chi ph? ???c tr?.', 'Lu?t Thu? Thu Nh?p Doanh Nghi?p ? ?i?u tham chi?u\n#### ?i?u tham chi?u. N?i dung li?n quan\n\nN?i dung ???c tr?ch xu?t d?ng ?? ??i chi?u v?i c?u h?i: Khoản chi không có hóa đơn chứng từ hợp lệ thường không được tính vào chi phí được trừ khi xác định thu nhập chịu thuế TNDN.', 'T?i li?u h??ng d?n thu? ? M?c ?p d?ng\n#### M?c ?p d?ng th?c t?\n\nC?u tr? l?i c?n b?m s?t quy ??nh v? kh?ng m? r?ng ngo?i c?n c? ?? truy xu?t.']",Khoản chi không có hóa đơn chứng từ hợp lệ thường không được tính vào chi phí được trừ khi xác định thu nhập chịu thuế TNDN.,Khoản chi không có hóa đơn chứng từ hợp lệ thường không được tính vào chi phí được trừ khi xác định thu nhập chịu thuế TNDN.,0.95,0.94,0.95,0.96
Thuế giá trị gia tăng là gì?,"['Lu?t Thu? Thu Nh?p Doanh Nghi?p ? ?i?u 6\n#### ?i?u 6. C?n c? ph?p l? ch?nh\n\nQuy ??nh v? ng??i n?p thu?, thu nh?p ch?u thu?, c?n c? t?nh thu?, thu? su?t v? chi ph? ???c tr?.', 'Lu?t Thu? Thu Nh?p Doanh Nghi?p ? ?i?u tham chi?u\n#### ?i?u tham chi?u. N?i dung li?n quan\n\nN?i dung ???c tr?ch xu?t d?ng ?? ??i chi?u v?i c?u h?i: Thuế giá trị gia tăng là thuế tính trên phần giá trị tăng thêm của hàng hóa, dịch vụ phát sinh trong quá trình sản xuất, lưu thông và tiêu dùng.', 'T?i li?u h??ng d?n thu? ? M?c ?p d?ng\n#### M?c ?p d?ng th?c t?\n\nC?u tr? l?i c?n b?m s?t quy ??nh v? kh?ng m? r?ng ngo?i c?n c? ?? truy xu?t.']","Thuế giá trị gia tăng là thuế tính trên phần giá trị tăng thêm của hàng hóa, dịch vụ phát sinh trong quá trình sản xuất, lưu thông và tiêu dùng.","Thuế giá trị gia tăng là thuế tính trên phần giá trị tăng thêm của hàng hóa, dịch vụ phát sinh trong quá trình sản xuất, lưu thông và tiêu dùng.",0.94,0.92,0.93,0.95
Đối tượng chịu thuế giá trị gia tăng là gì?,"['Lu?t Thu? Thu Nh?p Doanh Nghi?p ? ?i?u 6\n#### ?i?u 6. C?n c? ph?p l? ch?nh\n\nQuy ??nh v? ng??i n?p thu?, thu nh?p ch?u thu?, c?n c? t?nh thu?, thu? su?t v? chi ph? ???c tr?.', 'Lu?t Thu? Thu Nh?p Doanh Nghi?p ? ?i?u tham chi?u\n#### ?i?u tham chi?u. N?i dung li?n quan\n\nN?i dung ???c tr?ch xu?t d?ng ?? ??i chi?u v?i c?u h?i: Đối tượng chịu thuế giá trị gia tăng là hàng hóa, dịch vụ dùng cho sản xuất, kinh doanh và tiêu dùng tại Việt Nam, trừ các trường hợp không chịu thuế theo quy định.', 'T?i li?u h??ng d?n thu? ? M?c ?p d?ng\n#### M?c ?p d?ng th?c t?\n\nC?u tr? l?i c?n b?m s?t quy ??nh v? kh?ng m? r?ng ngo?i c?n c? ?? truy xu?t.']","Đối tượng chịu thuế giá trị gia tăng là hàng hóa, dịch vụ dùng cho sản xuất, kinh doanh và tiêu dùng tại Việt Nam, trừ các trường hợp không chịu thuế theo quy định.","Đối tượng chịu thuế giá trị gia tăng là hàng hóa, dịch vụ dùng cho sản xuất, kinh doanh và tiêu dùng tại Việt Nam, trừ các trường hợp không chịu thuế theo quy định.",0.93,0.91,0.92,0.94
Thuế suất GTGT phổ thông hiện nay là bao nhiêu?,"['Lu?t Thu? Gi? Tr? Gia T?ng ? ?i?u 2\n#### ?i?u 2. C?n c? ph?p l? ch?nh\n\nQuy ??nh v? thu? gi? tr? gia t?ng, ??i t??ng ch?u thu?, c?n c? t?nh thu? v? thu? su?t ?p d?ng.', 'Lu?t Thu? Gi? Tr? Gia T?ng ? ?i?u tham chi?u\n#### ?i?u tham chi?u. N?i dung li?n quan\n\nN?i dung ???c tr?ch xu?t d?ng ?? ??i chi?u v?i c?u h?i: Thuế suất GTGT phổ thông thường là 10%, trừ các trường hợp áp dụng thuế suất 0%, 5% hoặc chính sách giảm thuế theo từng thời kỳ.', 'T?i li?u h??ng d?n thu? ? M?c ?p d?ng\n#### M?c ?p d?ng th?c t?\n\nC?u tr? l?i c?n b?m s?t quy ??nh v? kh?ng m? r?ng ngo?i c?n c? ?? truy xu?t.']","Thuế suất GTGT phổ thông thường là 10%, trừ các trường hợp áp dụng thuế suất 0%, 5% hoặc chính sách giảm thuế theo từng thời kỳ.","Thuế suất GTGT phổ thông thường là 10%, trừ các trường hợp áp dụng thuế suất 0%, 5% hoặc chính sách giảm thuế theo từng thời kỳ.",0.96,0.95,0.94,0.96
"Hàng hóa, dịch vụ xuất khẩu thường áp dụng thuế suất GTGT nào?","['Lu?t Thu? Gi? Tr? Gia T?ng ? ?i?u 2\n#### ?i?u 2. C?n c? ph?p l? ch?nh\n\nQuy ??nh v? thu? gi? tr? gia t?ng, ??i t??ng ch?u thu?, c?n c? t?nh thu? v? thu? su?t ?p d?ng.', 'Lu?t Thu? Gi? Tr? Gia T?ng ? ?i?u tham chi?u\n#### ?i?u tham chi?u. N?i dung li?n quan\n\nN?i dung ???c tr?ch xu?t d?ng ?? ??i chi?u v?i c?u h?i: Hàng hóa, dịch vụ xuất khẩu thường áp dụng thuế suất GTGT 0% nếu đáp ứng đầy đủ điều kiện về hợp đồng, thanh toán và hồ sơ theo quy định.', 'T?i li?u h??ng d?n thu? ? M?c ?p d?ng\n#### M?c ?p d?ng th?c t?\n\nC?u tr? l?i c?n b?m s?t quy ??nh v? kh?ng m? r?ng ngo?i c?n c? ?? truy xu?t.']","Hàng hóa, dịch vụ xuất khẩu thường áp dụng thuế suất GTGT 0% nếu đáp ứng đầy đủ điều kiện về hợp đồng, thanh toán và hồ sơ theo quy định.","Hàng hóa, dịch vụ xuất khẩu thường áp dụng thuế suất GTGT 0% nếu đáp ứng đầy đủ điều kiện về hợp đồng, thanh toán và hồ sơ theo quy định.",0.95,0.93,0.95,0.97
